Name,Footfall,Latitude,Longitude,OutputArea,,,,,,,,,Names
Iceland,163,50.7649,-1.30002,E00087370,,,,,,,,,HMV
Superdrug,193,50.7658,-1.31104,E00087371,,,,,,,,,Nationwide
Boots,149,50.7658,-1.30424,E00087372,,,,,,,,,Tescos
Apple,136,50.764,-1.31686,E00087373,,,,,,,,,Game
Apple,140,50.7615,-1.3005,E00087374,,,,,,,,,Argos
Argos,172,50.7625,-1.30022,E00087375,,,,,,,,,Boots
WHSmits,97,50.7631,-1.29801,E00087376,,,,,,,,,Superdrug
Argos,122,50.7604,-1.29923,E00087377,,,,,,,,,WHSmits
Game,84,50.7597,-1.30188,E00087378,,,,,,,,,Iceland
Superdrug,135,50.7594,-1.3037,E00087379,,,,,,,,,Best Buy
Apple,133,50.7573,-1.30223,E00087389,,,,,,,,,Apple
WHSmits,87,50.7567,-1.30106,E00087390,,,,,,,,,B&Q
B&Q,102,50.759,-1.29785,E00087394,,,,,,,,,
B&Q,178,50.759,-1.29975,E00087395,,,,,,,,,
WHSmits,106,50.7566,-1.29687,E00087396,,,,,,,,,
Superdrug,70,50.7582,-1.29471,E00087397,,,,,,,,,
WHSmits,163,50.7564,-1.2953,E00087398,,,,,,,,,
Superdrug,107,50.7536,-1.29614,E00087399,,,,,,,,,
Apple,112,50.7585,-1.29586,E00087404,,,,,,,,,
Apple,78,50.7523,-1.30018,E00087400,,,,,,,,,
HMV,131,50.7529,-1.30192,E00087401,,,,,,,,,
Iceland,67,50.7526,-1.29711,E00087402,,,,,,,,,
Boots,185,50.7514,-1.29738,E00087403,,,,,,,,,
Boots,171,50.7553,-1.28754,E00087413,,,,,,,,,
HMV,98,50.7541,-1.28504,E00087414,,,,,,,,,
Boots,181,50.7559,-1.28853,E00087415,,,,,,,,,
WHSmits,159,50.7535,-1.28693,E00087416,,,,,,,,,
Best Buy,196,50.7533,-1.28929,E00087418,,,,,,,,,
Tescos,186,50.7624,-1.30746,E00087380,,,,,,,,,
Boots,170,50.7596,-1.30749,E00087381,,,,,,,,,
Best Buy,110,50.7603,-1.30914,E00087383,,,,,,,,,
HMV,114,50.7579,-1.31389,E00087384,,,,,,,,,
Nationwide,186,50.7583,-1.30554,E00087382,,,,,,,,,
Tescos,107,50.7569,-1.30899,E00087385,,,,,,,,,
Argos,147,50.7503,-1.31147,E00087387,,,,,,,,,
Tescos,184,50.7526,-1.30696,E00172707,,,,,,,,,
Iceland,83,50.7537,-1.30694,E00172708,,,,,,,,,
Iceland,114,50.7534,-1.31091,E00172711,,,,,,,,,
Superdrug,173,50.7565,-1.30554,E00087388,,,,,,,,,
Apple,101,50.7552,-1.30447,E00087391,,,,,,,,,
WHSmits,93,50.7552,-1.30204,E00087392,,,,,,,,,
Apple,111,50.7551,-1.29947,E00087393,,,,,,,,,
Nationwide,199,50.755,-1.32014,E00087449,,,,,,,,,
Superdrug,114,50.7539,-1.32247,E00087450,,,,,,,,,
Apple,70,50.7507,-1.32571,E00087451,,,,,,,,,
Apple,150,50.7449,-1.33354,E00087452,,,,,,,,,
B&Q,88,50.7605,-1.32083,E00087453,,,,,,,,,
Apple,158,50.7575,-1.32489,E00087454,,,,,,,,,
Nationwide,102,50.756,-1.32478,E00087455,,,,,,,,,
HMV,137,50.7424,-1.31219,E00087512,,,,,,,,,
Superdrug,165,50.7435,-1.31342,E00087513,,,,,,,,,
Iceland,98,50.74,-1.31003,E00087514,,,,,,,,,
Argos,114,50.7391,-1.31231,E00087515,,,,,,,,,
WHSmits,157,50.7412,-1.3204,E00087516,,,,,,,,,
Nationwide,182,50.7376,-1.31069,E00087517,,,,,,,,,
Tescos,129,50.739,-1.30411,E00087518,,,,,,,,,
Superdrug,178,50.7608,-1.28506,E00087405,,,,,,,,,
Argos,183,50.7562,-1.27715,E00087406,,,,,,,,,
Tescos,61,50.7571,-1.28393,E00087407,,,,,,,,,
Nationwide,115,50.7561,-1.28108,E00087408,,,,,,,,,
Iceland,183,50.7582,-1.27909,E00087409,,,,,,,,,
WHSmits,114,50.7585,-1.28872,E00087410,,,,,,,,,
B&Q,74,50.7515,-1.28752,E00087411,,,,,,,,,
Best Buy,197,50.752,-1.2823,E00087412,,,,,,,,,
B&Q,90,50.7536,-1.28128,E00087417,,,,,,,,,
Game,71,50.7517,-1.27908,E00087419,,,,,,,,,
Tescos,196,50.7531,-1.28446,E00087420,,,,,,,,,
Best Buy,200,50.7296,-1.27056,E00087519,,,,,,,,,
Best Buy,124,50.7392,-1.2663,E00087520,,,,,,,,,
Argos,176,50.7331,-1.27658,E00087521,,,,,,,,,
Nationwide,157,50.7463,-1.28208,E00172704,,,,,,,,,
Nationwide,139,50.7475,-1.28319,E00172710,,,,,,,,,
B&Q,145,50.749,-1.27969,E00087522,,,,,,,,,
Game,197,50.7502,-1.27829,E00087523,,,,,,,,,
Iceland,82,50.7494,-1.2835,E00087524,,,,,,,,,
Game,193,50.7443,-1.27913,E00172705,,,,,,,,,
Boots,72,50.7258,-1.15613,E00087545,,,,,,,,,
HMV,60,50.7292,-1.1532,E00087546,,,,,,,,,
Apple,153,50.7274,-1.15589,E00087547,,,,,,,,,
Boots,161,50.7279,-1.15918,E00087548,,,,,,,,,
Best Buy,68,50.7304,-1.15278,E00087552,,,,,,,,,
Boots,183,50.7291,-1.15616,E00087555,,,,,,,,,
Apple,148,50.7285,-1.16138,E00087544,,,,,,,,,
Game,138,50.7318,-1.15986,E00087549,,,,,,,,,
Tescos,94,50.73,-1.15749,E00087550,,,,,,,,,
Tescos,154,50.7306,-1.16172,E00087551,,,,,,,,,
Superdrug,76,50.7311,-1.15837,E00087553,,,,,,,,,
Tescos,125,50.7303,-1.16,E00087554,,,,,,,,,
Game,126,50.7322,-1.16216,E00087556,,,,,,,,,
Argos,190,50.731,-1.16379,E00087559,,,,,,,,,
Best Buy,190,50.7294,-1.16565,E00087561,,,,,,,,,
Apple,160,50.7279,-1.16467,E00087562,,,,,,,,,
Boots,86,50.7269,-1.16367,E00087563,,,,,,,,,
Tescos,111,50.7269,-1.16915,E00087564,,,,,,,,,
Tescos,170,50.723,-1.15104,E00087599,,,,,,,,,
Nationwide,177,50.7283,-1.14852,E00087603,,,,,,,,,
Superdrug,150,50.7268,-1.15021,E00087604,,,,,,,,,
B&Q,116,50.7247,-1.15056,E00087605,,,,,,,,,
Superdrug,154,50.7247,-1.15276,E00087606,,,,,,,,,
Apple,198,50.7277,-1.1882,E00087304,,,,,,,,,
Best Buy,94,50.7295,-1.18864,E00087305,,,,,,,,,
B&Q,83,50.7302,-1.21424,E00087306,,,,,,,,,
Nationwide,84,50.7256,-1.22182,E00087307,,,,,,,,,
B&Q,81,50.7217,-1.19158,E00087313,,,,,,,,,
Tescos,150,50.7257,-1.18404,E00087308,,,,,,,,,
Iceland,153,50.7262,-1.18949,E00087309,,,,,,,,,
