Latitude,Longitude,OutputArea,NumberofPeople,AverageAge,
50.7649,-1.30002,E00087370,239,55.0,
50.7658,-1.31104,E00087371,334,46.2,
50.7658,-1.30424,E00087372,163,50.1,
50.764,-1.31686,E00087373,210,59.4,
50.7615,-1.3005,E00087374,204,53.6,
50.7625,-1.30022,E00087375,154,54.4,
50.7631,-1.29801,E00087376,215,41.4,
50.7604,-1.29923,E00087377,225,39.9,
50.7597,-1.30188,E00087378,279,37.9,
50.7594,-1.3037,E00087379,211,41.3,
50.7573,-1.30223,E00087389,292,38.7,
50.7567,-1.30106,E00087390,337,36.6,
50.759,-1.29785,E00087394,270,43.6,
50.759,-1.29975,E00087395,319,38.8,
50.7566,-1.29687,E00087396,351,37.9,
50.7582,-1.29471,E00087397,190,43.0,
50.7564,-1.2953,E00087398,303,32.5,
50.7536,-1.29614,E00087399,343,39.3,
50.7585,-1.29586,E00087404,199,43.6,
50.7523,-1.30018,E00087400,336,35.7,
50.7529,-1.30192,E00087401,344,35.4,
50.7526,-1.29711,E00087402,260,37.9,
50.7514,-1.29738,E00087403,410,35.6,
50.7553,-1.28754,E00087413,331,37.7,
50.7541,-1.28504,E00087414,317,34.5,
50.7559,-1.28853,E00087415,310,37.3,
50.7535,-1.28693,E00087416,311,35.3,
50.7533,-1.28929,E00087418,373,38.3,
50.7624,-1.30746,E00087380,265,56.1,
50.7596,-1.30749,E00087381,282,48.3,
50.7603,-1.30914,E00087383,267,41.7,
50.7579,-1.31389,E00087384,252,56.7,
50.7583,-1.30554,E00087382,278,38.2,
50.7569,-1.30899,E00087385,353,46.1,
50.7503,-1.31147,E00087387,270,47.0,
50.7526,-1.30696,E00172707,250,33.6,
50.7537,-1.30694,E00172708,241,32.4,
50.7534,-1.31091,E00172711,355,41.0,
50.7565,-1.30554,E00087388,429,34.8,
50.7552,-1.30447,E00087391,266,36.3,
50.7552,-1.30204,E00087392,354,39.1,
50.7551,-1.29947,E00087393,355,39.6,
50.755,-1.32014,E00087449,201,49.6,
50.7539,-1.32247,E00087450,267,42.4,
50.7507,-1.32571,E00087451,338,48.2,
50.7449,-1.33354,E00087452,182,50.9,
50.7605,-1.32083,E00087453,248,49.6,
50.7575,-1.32489,E00087454,221,45.6,
50.756,-1.32478,E00087455,225,49.8,
50.7424,-1.31219,E00087512,260,48.3,
50.7435,-1.31342,E00087513,385,47.0,
50.74,-1.31003,E00087514,291,51.4,
50.7391,-1.31231,E00087515,333,37.6,
50.7412,-1.3204,E00087516,314,47.5,
50.7376,-1.31069,E00087517,297,46.4,
50.739,-1.30411,E00087518,431,44.2,
50.7608,-1.28506,E00087405,262,50.4,
50.7562,-1.27715,E00087406,466,44.4,
50.7571,-1.28393,E00087407,268,48.7,
50.7561,-1.28108,E00087408,250,57.1,
50.7582,-1.27909,E00087409,386,49.2,
50.7585,-1.28872,E00087410,317,39.9,
50.7515,-1.28752,E00087411,420,39.8,
50.752,-1.2823,E00087412,363,42.9,
50.7536,-1.28128,E00087417,435,43.9,
50.7517,-1.27908,E00087419,245,46.4,
50.7531,-1.28446,E00087420,303,36.9,
50.7296,-1.27056,E00087519,327,53.6,
50.7392,-1.2663,E00087520,295,48.6,
50.7331,-1.27658,E00087521,165,66.9,
50.7463,-1.28208,E00172704,316,38.0,
50.7475,-1.28319,E00172710,278,37.0,
50.749,-1.27969,E00087522,370,42.5,
50.7502,-1.27829,E00087523,270,56.2,
50.7494,-1.2835,E00087524,419,33.7,
50.7443,-1.27913,E00172705,304,27.1,
50.7258,-1.15613,E00087545,311,36.8,
50.7292,-1.1532,E00087546,285,41.9,
50.7274,-1.15589,E00087547,277,43.0,
50.7279,-1.15918,E00087548,242,41.1,
50.7304,-1.15278,E00087552,212,45.4,
50.7291,-1.15616,E00087555,193,44.4,
50.7285,-1.16138,E00087544,326,40.0,
50.7318,-1.15986,E00087549,251,35.4,
50.73,-1.15749,E00087550,225,45.2,
50.7306,-1.16172,E00087551,341,34.4,
50.7311,-1.15837,E00087553,206,45.0,
50.7303,-1.16,E00087554,255,41.9,
50.7322,-1.16216,E00087556,254,42.9,
50.731,-1.16379,E00087559,214,44.9,
50.7294,-1.16565,E00087561,276,41.5,
50.7279,-1.16467,E00087562,227,38.4,
50.7269,-1.16367,E00087563,253,38.3,
50.7269,-1.16915,E00087564,387,43.8,
50.723,-1.15104,E00087599,304,39.3,
50.7283,-1.14852,E00087603,295,52.1,
50.7268,-1.15021,E00087604,315,39.1,
50.7247,-1.15056,E00087605,219,40.2,
50.7247,-1.15276,E00087606,365,37.8,
50.7277,-1.1882,E00087304,260,48.4,
50.7295,-1.18864,E00087305,259,51.7,
50.7302,-1.21424,E00087306,368,49.0,
50.7256,-1.22182,E00087307,386,54.1,
